,Name,PrimaryFocus,Secondary Focus,Max Primary,Max Secondary,Categories,Equipment,Note
77,Lateral Raise Machine,Reps,Weight,0,0.0,Side delt,None,
78,Pro seated row,Reps,Weight,0,0.0,Upper back,None,
79,Machine preacher curl,Reps,Weight,0,0.0,Short heqd biceps,None,
80,Incline bench,Reps,Weight,0,0.0,Upper pec,None,
81,Mid cable fly,Reps,Weight,0,0.0,Middle pec,None,
82,Tricep rope pulldown,Reps,Weight,0,0.0,Short head tricep,None,
83,Rope tricep overhead ext,Reps,Weight,0,0.0,Long head tricep,None,
84,Neutral seated row,Reps,Weight,0,0.0,Back,None,
85,Sussy out,Reps,Weight,0,0.0,Abductor,None,
86,Standing leg curl,Reps,Weight,0,0.0,Hamstring,None,
87,Ryan Rows,Reps,Weight,0,0.0,Lat,None,
88,Tricep crossover pulldown,Reps,Weight,0,0.0,Tricep,None,
89,Neutral grip cable row,Reps,Weight,0,0.0,Back,None,
90,Smith machine row,Reps,Weight,0,0.0,Back,None,
91,Bulgarian split squats,Reps,Weight,0,0.0,,None,
